Date,Close,Dividends,Regime,Bench_Returns,Bench_Cumprod,Asset_Count,Asset_Value,Balance,Account_Value,Performance_Returns,Performance_Cumprod
1992-07-21,413.76,0,LowVol,1.00002416918429,1.0121825921033325,243.0,100543.68,19.720000000012078,100563.40000000001,1.0000241644447143,1.0056339999999997
1992-07-22,410.93,0,LowVol,0.9931602861562259,1.0052595528156962,243.0,99855.99,19.720000000012078,99875.71000000002,0.9931616273912777,0.9987570999999998
1992-07-23,412.08,0,LowVol,1.002798530163288,1.0080728019961844,243.0,100135.44,19.720000000012078,100155.16000000002,1.002797977606367,1.0015515999999998
1992-07-24,411.6,0,LowVol,0.9988351776354107,1.0068985762512852,243.0,100018.8,19.720000000012078,100038.52000000002,0.9988354069825259,1.0003851999999998
1992-07-27,411.54,0,LowVol,0.9998542274052478,1.0067517980331728,243.0,100004.22,19.720000000012078,100023.94000000002,0.9998542561405347,1.0002393999999997
1992-07-28,417.52,0,LowVol,1.014530786800797,1.0213806937717118,243.0,101457.36,19.720000000012078,101477.08000000002,1.0145279220154695,1.0147707999999998
1992-07-29,422.23,0,LowVol,1.0112808967235103,1.0329027838935378,243.0,102601.89,19.720000000012078,102621.61000000002,1.011278704511403,1.0262160999999996
1992-07-30,423.92,0,LowVol,1.0040025578476186,1.037037037037038,243.0,103012.56,19.720000000012078,103032.28000000001,1.0040017887070765,1.0303227999999998
1992-07-31,424.21,0,LowVol,1.0006840913379882,1.037746465091248,243.0,103083.03,19.720000000012078,103102.75000000001,1.0006839604054185,1.0310274999999998
1992-08-03,425.09,0,LowVol,1.0020744442610972,1.0398992122902304,243.0,103296.87,19.720000000012078,103316.59000000001,1.0020740474914587,1.0331658999999997
1992-08-04,424.36,0,LowVol,0.9982827166011904,1.0381134106365293,243.0,103119.48000000001,19.720000000012078,103139.20000000003,0.998283044378449,1.0313919999999999
1992-08-05,422.19,0,LowVol,0.9948864171929493,1.0328049317481296,243.0,102592.17,19.720000000012078,102611.89000000001,0.9948873948993204,1.0261188999999997
1992-08-06,420.59,0,LowVol,0.9962102370970416,1.028890845931798,243.0,102203.37,19.720000000012078,102223.09000000001,0.9962109654154114,1.0222308999999998
1992-08-07,418.88,0,LowVol,0.995934282793219,1.0247076667155937,243.0,101787.84,19.720000000012078,101807.56000000001,0.9959350671164411,1.0180755999999997
1992-08-10,419.42,0,LowVol,1.0012891520244462,1.0260286706786057,243.0,101919.06,19.720000000012078,101938.78000000001,1.001288902317274,1.0193877999999998
1992-08-11,418.9,0,LowVol,0.9987601926469886,1.0247565927882978,243.0,101792.7,19.720000000012078,101812.42000000001,0.998760432487028,1.0181241999999997
1992-08-12,417.78,0,LowVol,0.9973263308665552,1.0220167327168657,243.0,101520.54,19.720000000012078,101540.26000000001,0.9973268487282789,1.0154025999999996
1992-08-13,417.73,0,LowVol,0.9998803197855332,1.0218944175351055,243.0,101508.39,19.720000000012078,101528.11000000002,0.9998803430284697,1.0152810999999997
